Apply URL,ID,Company,Role,Location,Category,Status,Score,Overall Fit %,Confidence Score,Date Added,Date Evaluated,Date Applied,Suitability Reason
https://job-boards.greenhouse.io/mthreerecruitingportal/jobs/4628952006,99,mthree,Junior Software Developer,"Montreal, QC, Canada",SWE,Pending Evaluation,,92.0,95.0,2026-06-13 22:31:37,2026-06-14 00:15:09,,"This is a strong match. The role is a Junior Software Developer / Java Full-stack Developer targeting recent graduates (0-3 years experience). The candidate holds a Master of Science in Computer Science (expected May 2027) and a Bachelor of Science in Data Science (GPA 3.9), exceeding the Bachelor's degree requirement. The candidate has extensive OOP experience (Java, C++, Python), strong software engineering principles (data structures, design patterns, multithreading via NSGA-II genetic algorithms and ML pipelines), database knowledge (SQL, MySQL, Postgres, schema design), test-driven development exposure (benchmarking, debugging pipelines), and troubleshooting skills (identified a pipeline bug affecting 411k payment events). The candidate is authorized to work in Canada (studied at UCSD and ASU, no visa restrictions mentioned). The role's fintech/banking context aligns with the candidate's KYC fraud detection and payment pipeline experience. French proficiency may be required but is not a blocker — the candidate's profile doesn't mention French, but this is listed as ""may be required"" not mandatory."
https://cox.wd1.myworkdayjobs.com/Cox_External_Career_Site_1/job/Burlington-VT/Entry-Level-Software-Engineer--Burlington--VT-_R202679034,206,Cox,Entry Level Software Engineer,"Burlington, VT",SWE,Pending Evaluation,,90.0,95.0,2026-06-28 05:44:04,2026-06-28 06:04:07,,"The candidate's target titles include Software Engineer, and they hold a Master's in Computer Science (in progress) and a Bachelor's in Data Science, aligning with the degree requirement. They have 0-3 years of full-time experience (current role since Dec 2025, plus internships). They possess multiple required skills: Java, C++, Python, SQL, web technologies (JavaScript, HTML, React), and cloud experience (AWS). The role is entry-level and the candidate is a strong match."
https://careers-sig.icims.com/jobs/9531/job?mobile=true&needsRedirect=false,168,Susquehanna International Group (SIG),Quantitative Strategy Developer New Grad,"Ardmore, PA",Quant,Pending Evaluation,,90.0,95.0,2026-06-13 22:31:37,2026-06-14 01:14:18,,"The candidate is a strong match for this new graduate quantitative strategy developer role. They are graduating with a Master's in Computer Science (expected May 2027) and have a Bachelor's in Data Science, aligning with the required STEM disciplines. The role requires 0 years of experience (new grad), which matches the candidate's profile. The candidate has strong Python skills and experience with C++ (compiled language), meeting the core technical requirement. Their background in machine learning, optimization, and data engineering demonstrates exceptional quantitative and analytical skills. The role's start date (August 2026) aligns with the candidate's graduation timeline."
https://jobs.smartrecruiters.com/KrgTechnologyInc/101351633,100,KRG Technologies,Junior Software Engineer,"Redmond, WA",SWE,Pending Evaluation,,88.0,92.0,2026-06-13 22:31:37,2026-06-14 00:15:21,,"This is a Jr. Software Engineer / Microsoft Fresher position requiring 0 years of experience, which aligns perfectly with the candidate's entry-level profile. The candidate holds a Master of Science in Computer Science (expected May 2027) and a Bachelor of Science in Data Science (GPA 3.9), meeting the degree requirements. The job asks for knowledge of any coding language like C/C#/Java/Python — the candidate has all of these (Python, C, C++, Java). The role mentions software testing process knowledge as a must; while not explicitly listed in the candidate's profile, the candidate's extensive experience building and debugging production ML pipelines (e.g., fixing a 411k-event pipeline bug) demonstrates strong testing/debugging aptitude. The role also mentions Windows OS device testing (nice-to-have) and command line scripting (nice-to-have) — the candidate has Unix/Python scripting experience. The candidate is a US citizen/green card holder (implied by studying at US universities). Overall, this is a strong match for an entry-level Microsoft-focused engineering role."
https://fa-ewjt-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/job/15785,230,EXL,Junior Software Developer,United States,SWE,Fetch Failed / Manual Review,,85.0,90.0,2026-06-28 05:44:04,2026-06-28 06:07:02,,"Candidate holds a BS in Computer Science (UCSD) and is pursuing an MS in Computer Science (ASU), matching the education requirement. Has 0-3 years of experience (internships and current role at BILL). Skills include SQL, JavaScript, .NET (via C#/ASP.NET exposure from internships), and Agile experience. The role is remote US, which aligns with candidate's open-to-relocate preference. Salary range $45K-$55K is below candidate's $140K target, but the role is entry-level and candidate may accept for career growth."
https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-IN-FT-WAYNE-150A--1010-Production-Rd--BLDG-150A/XMLNAME-2026-Raytheon-Full-Time--Software-Engineer-I---Onsite-_01844595,255,RTX,Software Engineer 1,"Fort Wayne, IN",Hardware,Fetch Failed / Manual Review,,85.0,90.0,2026-06-28 05:44:04,2026-06-28 06:10:20,,"Candidate holds a BS in Computer Science (UCSD) and is pursuing an MS in Computer Science (ASU), meeting the STEM degree requirement. Has 0-3 years of full-time experience (current role started Dec 2025). Skills include Python, C, C++, Java, Agile/Scrum, CI/CD, and Linux, aligning with required qualifications. Location is onsite in Fort Wayne, IN; candidate is open to relocate anywhere in the US. However, the role requires U.S. citizenship and ability to obtain a security clearance; candidate is a U.S. citizen and legally authorized to work, but does not have an active security clearance. The job requires an active Secret clearance after day 1, which is a potential gap."
https://jobs.smartrecruiters.com/NorthStarStaffingSolutions1/81064849,104,North Star Staffing Solutions,Software Engineer 1,"Cleveland, OH",SWE,Pending Evaluation,,70.0,80.0,2026-06-13 22:31:37,2026-06-14 01:01:30,,"The candidate's Master's in CS and Bachelor's in Data Science align with the degree requirement. The role is Software Engineer I, which typically targets 0-3 years experience, but the job description explicitly requires 3-5 years experience, exceeding the candidate's profile (likely 0-2 years of professional experience). The candidate has strong technical skills in Python, Java, JavaScript, HTML/CSS, MySQL, PostgreSQL, and Git, covering most of the required areas. However, the experience requirement is a mismatch, making this a medium priority match."
https://jobs.ashbyhq.com/PointOne/1e312db8-6d18-4d07-af99-ed3ba165e7d9/application,267,PointOne,Software Engineer New Grad,NYC,SWE,Pending Evaluation,,65.0,40.0,2026-07-01 21:17:41,2026-07-09 18:12:41,,
https://jobs.lever.co/latitudeinc/4afc4fa6-2729-4de4-89bf-cda1209fb0d8/apply,160,Latitude,Entry Level Software Developer - Data & Database Focus,"Baltimore, MD",DS_ML,Fetch Failed / Manual Review,,55.0,40.0,2026-06-13 22:31:37,2026-07-09 18:12:41,,
https://jobs.ashbyhq.com/quora/3eb7e80e-6a0d-41b6-8ee4-f62421c486e4/application,366,Quora,Machine Learning Engineer New Grad,"Remote in USA, Remote in Canada",DS_ML,Fetch Failed / Manual Review,,,,2026-07-13 23:35:39,,,
